"","Gene","mean.1A","se.1A","mean.1B","se.1B","mean.3A","se.3A"
"1","5' UTR",0.0442958659786062,0.00554629366522538,0.0917329981846111,0.00848031918662772,0.0847669591302868,0.00710103606232323
"2","Core",0.0862896793268683,0.00583266543887318,0.0979390010803623,0.00676996991217119,0.106605619970183,0.00606102839010481
"3","E1",0.0661004457074045,0.00383003358207882,0.0652901785714286,0.00393272788454491,0.0754142300194932,0.0039161541464389
"4","HVR1",0.0874999592067175,0.0156126223274466,0.0901234567901235,0.0161490066519977,0.0628779927025541,0.0118133470822622
"5","E2",0.0944623505484421,0.00458711916400759,0.107156780840991,0.00517421028602966,0.0819634180668345,0.00417630553071084
"6","NS1",0.0790070308970653,0.00933615572227051,0.09949609473419,0.0119439613336546,0.0708109304600533,0.0100296600447709
"7","NS2",0.0838689374771849,0.00538878061423004,0.0850486431131593,0.00583766229476841,0.0674349231225292,0.00480268486459275
"8","NS3",0.0713958335864327,0.00291277513171047,0.0819560787865067,0.00343975868840068,0.0717673536924517,0.00294934117426778
"9","NS4A",0.0762743005583785,0.0102167144445922,0.0891828336272781,0.0122132430004506,0.0871444994252012,0.0112875368733743
"10","NS4B",0.0715498420202769,0.00468733737634801,0.0838776379006264,0.00523301389576626,0.0748634529638764,0.00469232863237333
"11","NS5A",0.0818194249204012,0.003620225289064,0.0770664704439539,0.00382682689430986,0.0697891499564556,0.00345121825718271
"12","NS5B",0.0186328751431844,0.00204064694710402,0.0558945908460472,0.0134023476360377,0.0781939913263368,0.0138011989544758
