file	product	N_sites	S_sites	N_diffs	S_diffs	dN	dS	SE_dN	SE_dS	dN_minus_dS	dN_over_dS	SE_dN_minus_dS	Z_value	significance
HCV3A_aligned.cds.fasta	E2	774.559921119131	249.522211897212	39.0633999847816	65.6593770820743	0.050433025153613	0.263140409756876	0.00555367742496981	0.0110654425070706	-0.212707384603263	0.191658229916909	0.0118475083309197	-17.9537653540313	***
HCV3A_aligned.cds.fasta	NS5B	709.760683760684	251.547008547009	43.4417453891138	6.69725596041385	0.0612061873573169	0.0266242719366797	0.00426925001338704	0.00522901061908917	0.0345819154206372	2.29888680159529	0.00677106590596863	5.10730746102377	***
HCV3A_aligned.cds.fasta	E1	432.555555555556	143.444444444444	13.3587494376968	34.3834907782276	0.0308833149086235	0.239699006199883	0.00476386681230588	0.014425934062764	-0.208815691291259	0.128842064880612	0.0154107700395423	-13.5499842483835	***
HCV3A_aligned.cds.fasta	NS5A	955.609874044084	337.473121907332	54.9312987076145	51.1473021604601	0.0574829752178559	0.151559631983091	0.00433928124071837	0.00914258383339703	-0.094076656765235	0.379276291884036	0.0107790557527815	-8.72772707766716	***
HCV3A_aligned.cds.fasta	NS1	132.038461538462	53.9615384615385	3.18196131354026	13.2863247863248	0.0240987457477561	0.246218420844223	0.00553558204739819	0.0233008978766008	-0.222119675096466	0.0978754784679693	0.0235416022868792	-9.43519784208842	***
HCV3A_aligned.cds.fasta	NS4B	556.17094017094	203.82905982906	21.5782726045884	32.3475033738192	0.0387979145367722	0.158699173714225	0.0039254395609213	0.0127459166439521	-0.119901259177453	0.244474584389689	0.0140579964304243	-8.52904322254359	***
HCV3A_aligned.cds.fasta	NS2	449.508547008547	164.260683760684	38.4768331084121	10.1695906432748	0.0855975561854677	0.0619112888759871	0.00523847016114222	0.00961248490763454	0.0236862673094806	1.38258398007068	0.0106925312248857	2.21521609909853	**
HCV3A_aligned.cds.fasta	Core	418.858974358974	154.141025641026	3.4804318488529	24.0458839406208	0.00830931664811381	0.155999247057175	0.00174616534047167	0.0145002310123279	-0.147689930409062	0.0532651073954758	0.0145723146669897	-10.1349671472316	***
HCV3A_aligned.cds.fasta	HVR1	37.8584120557805	13.3338956365272	6.56132752185384	3.50651359861886	0.173312275015296	0.262977429417779	0.0264086810995976	0.0368855435632849	-0.0896651544024822	0.659038592775824	0.0405849130508785	-2.20932232354607	**
HCV3A_aligned.cds.fasta	NS4A	120.200854700855	35.8760683760684	9.14035087719298	1.4642375168691	0.0760423118449588	0.0408137675934924	0.0100162191887306	0.0223280397511557	0.0352285442514665	1.86315344866823	0.0265956212431389	1.32459941166272	
HCV3A_aligned.cds.fasta	NS3	1320.4188034188	484.504273504273	109.455465587045	12.9183535762483	0.0828945068819414	0.0266630332954831	0.00300374937091668	0.00365108409679358	0.0562314735864582	3.10896760932238	0.00470885331756826	11.941649016049	***
