analysis	product	group_1	group_2	N_sites	S_sites	N_diffs	S_diffs	dN	dS	dN-dS	dN/dS
ANALYSIS	Core	HCV1B_aligned.cds.fasta	HCV1A_aligned.cds.fasta	417.4855922	155.5144078	8.888441188	43.81778592	0.021290414	0.281760298	-0.260469884	0.075562151
ANALYSIS	Core	HCV1B_aligned.cds.fasta	HCV3A_aligned.cds.fasta	418.6278999	154.3721001	30.66503867	70.85877086	0.073251302	0.459012806	-0.385761504	0.159584441
ANALYSIS	Core	HCV1A_aligned.cds.fasta	HCV3A_aligned.cds.fasta	417.7166667	155.2833333	28.235492	66.56924173	0.067594842	0.428695342	-0.3611005	0.157675708
ANALYSIS	HVR1	HCV1B_aligned.cds.fasta	HCV1A_aligned.cds.fasta	48.43705906	17.61094587	12.51617911	9.30181487	0.258400889	0.528183718	-0.26978283	0.489225396
ANALYSIS	HVR1	HCV1B_aligned.cds.fasta	HCV3A_aligned.cds.fasta	34.64984095	12.37845575	7.633992835	6.065081775	0.220318265	0.489970792	-0.269652528	0.449655915
ANALYSIS	HVR1	HCV1A_aligned.cds.fasta	HCV3A_aligned.cds.fasta	45.22848795	16.65550598	10.72317348	7.64270682	0.237088923	0.458869687	-0.221780765	0.516680289
ANALYSIS	NS2	HCV1B_aligned.cds.fasta	HCV1A_aligned.cds.fasta	463.5044567	165.8493895	134.891046	43.13606024	0.29102427	0.260091764	0.030932506	1.118929202
ANALYSIS	NS2	HCV1B_aligned.cds.fasta	HCV3A_aligned.cds.fasta	458.1987179	165.6858974	177.6477411	57.62087912	0.387708944	0.347771778	0.039937166	1.114837284
ANALYSIS	NS2	HCV1A_aligned.cds.fasta	HCV3A_aligned.cds.fasta	459.365812	165.8726496	190.999748	60.31570239	0.415790081	0.363626569	0.052163512	1.143453522
ANALYSIS	E2	HCV1B_aligned.cds.fasta	HCV1A_aligned.cds.fasta	774.8706049	250.6332566	144.9286817	178.0323431	0.187035978	0.710330088	-0.523294109	0.26330854
ANALYSIS	E2	HCV1B_aligned.cds.fasta	HCV3A_aligned.cds.fasta	773.3305444	252.1887017	142.1193697	174.670711	0.18377571	0.692619098	-0.508843388	0.265334453
ANALYSIS	E2	HCV1A_aligned.cds.fasta	HCV3A_aligned.cds.fasta	759.8368859	245.1477295	89.71138239	168.4275198	0.118066633	0.687044992	-0.568978359	0.171847017
ANALYSIS	NS1	HCV1B_aligned.cds.fasta	HCV1A_aligned.cds.fasta	135.6376068	53.36239316	40.82680254	37.22750384	0.300999137	0.697635575	-0.396636438	0.431456117
ANALYSIS	NS1	HCV1B_aligned.cds.fasta	HCV3A_aligned.cds.fasta	133.9993895	55.0006105	36.06318681	41.10164835	0.269129486	0.747294402	-0.478164916	0.360138501
ANALYSIS	NS1	HCV1A_aligned.cds.fasta	HCV3A_aligned.cds.fasta	135.5985348	53.4014652	14.66890517	33.8048433	0.108178936	0.633032131	-0.524853195	0.170890118
ANALYSIS	E1	HCV1B_aligned.cds.fasta	HCV1A_aligned.cds.fasta	430.611631	145.3806767	93.2032942	110.8065744	0.216443978	0.762182272	-0.545738294	0.283979286
ANALYSIS	E1	HCV1B_aligned.cds.fasta	HCV3A_aligned.cds.fasta	429.3854405	146.5354386	57.15123506	90.61464835	0.133100077	0.618380435	-0.485280359	0.215239793
ANALYSIS	E1	HCV1A_aligned.cds.fasta	HCV3A_aligned.cds.fasta	431.3293651	144.5992063	90.44485144	112.1522182	0.209688602	0.775607425	-0.565918824	0.270354041
ANALYSIS	NS4A	HCV1B_aligned.cds.fasta	HCV1A_aligned.cds.fasta	118.6679487	38.23974359	38.80624589	8.370742932	0.327015393	0.218901649	0.108113744	1.493891866
ANALYSIS	NS4A	HCV1B_aligned.cds.fasta	HCV3A_aligned.cds.fasta	119.453602	37.15628816	36.9029304	8.767399267	0.308931081	0.235960041	0.07297104	1.309251686
ANALYSIS	NS4A	HCV1A_aligned.cds.fasta	HCV3A_aligned.cds.fasta	117.920696	39.51996337	17.01994302	4.947578348	0.144333807	0.125191876	0.019141932	1.152900749
ANALYSIS	NS3	HCV1B_aligned.cds.fasta	HCV1A_aligned.cds.fasta	1321.21337	499.7481685	429.8504274	92.46092796	0.325345199	0.185015041	0.140330158	1.758479729
ANALYSIS	NS3	HCV1B_aligned.cds.fasta	HCV3A_aligned.cds.fasta	1322.362943	509.4755189	313.3729955	42.23530729	0.236979565	0.082899581	0.154079984	2.85863404
ANALYSIS	NS3	HCV1A_aligned.cds.fasta	HCV3A_aligned.cds.fasta	1321.568376	494.2316239	428.0285777	91.40929213	0.323879252	0.184952333	0.138926919	1.751149857
ANALYSIS	NS5A	HCV1B_aligned.cds.fasta	HCV1A_aligned.cds.fasta	963.468555	339.3037122	257.2727618	175.5688315	0.267027668	0.517438581	-0.250410913	0.516056742
ANALYSIS	NS5A	HCV1B_aligned.cds.fasta	HCV3A_aligned.cds.fasta	940.7023847	335.5613515	172.9818866	130.2078029	0.183885881	0.388029796	-0.204143915	0.47389629
ANALYSIS	NS5A	HCV1A_aligned.cds.fasta	HCV3A_aligned.cds.fasta	957.3794181	342.7005414	247.0023884	174.0307714	0.257998432	0.5078217	-0.249823268	0.508049246
ANALYSIS	NS4B	HCV1B_aligned.cds.fasta	HCV1A_aligned.cds.fasta	562.5179487	208.5128205	84.96630037	96.47643468	0.151046381	0.462688263	-0.311641882	0.326453885
ANALYSIS	NS4B	HCV1B_aligned.cds.fasta	HCV3A_aligned.cds.fasta	564.3995726	204.1004274	120.1572039	109.793956	0.212893861	0.537940843	-0.325046983	0.395757011
ANALYSIS	NS4B	HCV1A_aligned.cds.fasta	HCV3A_aligned.cds.fasta	559.084188	209.4465812	110.3129849	112.6916174	0.19731015	0.538044673	-0.340734524	0.36671704
ANALYSIS	NS5B	HCV1B_aligned.cds.fasta	HCV1A_aligned.cds.fasta	713.1038462	253.5961538	242.3436774	41.80661845	0.339843459	0.164855097	0.174988362	2.06146771
ANALYSIS	NS5B	HCV1B_aligned.cds.fasta	HCV3A_aligned.cds.fasta	717.2830281	255.1916972	153.5146113	25.03679284	0.214022367	0.098109747	0.11591262	2.181458758
ANALYSIS	NS5B	HCV1A_aligned.cds.fasta	HCV3A_aligned.cds.fasta	713.9398657	253.1425519	241.3141026	37.88247863	0.338003401	0.149648798	0.188354603	2.258644273
