"","gene","1A","1B","3A"
"1","Core",0.0518541484849877,0.22319070009957,0.131927078609466
"2","E1",0.157922594411488,0.207981588241651,0.207600958393491
"3","HVR1",1.37795649599511,3.40870608254181,1.47896476128237
"4","E2",0.221926797243596,0.3099453456003,0.415815549103099
"5","NS1",0.204666527232687,0.162046872833172,0.135839099331535
"6","NS2",0.207692102098089,1.3736553115195,1.38983294045301
"7","NS3",0.0620348418439514,2.15457842357358,1.98616421253091
"8","NS4A",0.0806101798772868,1.48972070061541,1.74765985497693
"9","NS4B",0.0668496806271158,0.356217772147387,0.342685447938469
"10","NS5A",0.169250139180335,0.440916668327057,0.453712301439374
"11","NS5B",0.113336971263727,1.77083585508245,1.85280931433238
