file	product	N_sites	S_sites	N_diffs	S_diffs	dN	dS	SE_dN	SE_dS	dN_minus_dS	dN_over_dS	SE_dN_minus_dS	Z_value	significance
HCV1B_aligned.cds.fasta	NS5A	935.658730158729	340.484126984127	52.3373015873016	57.8674603174603	0.0559363151332141	0.169956411272465	0.00420266113684978	0.0107748354671523	-0.11402009613925	0.329121536012785	0.0121104625976171	-9.41500749621946	***
HCV1B_aligned.cds.fasta	Core	418.396825396826	154.603174603175	4.18809523809524	17.8166666666667	0.0100098638036344	0.115241273100616	0.00257561768098967	0.0133295703580581	-0.105231409296982	0.0868600591985383	0.0133473372351899	-7.88407511121707	***
HCV1B_aligned.cds.fasta	NS5B	718.119047619047	254.738095238095	51.9309523809524	7.22142857142857	0.0723152415370844	0.0283484437797925	0.00497371183753135	0.00564117114449677	0.0439667977572919	2.55094219981954	0.00737853901349368	5.9587402976235	***
HCV1B_aligned.cds.fasta	NS2	461.539682539682	166.460317460317	54.2400793650794	14.193253968254	0.117519861058569	0.0852650901115668	0.00756586549437776	0.0110910439037076	0.0322547709470019	1.37828812360132	0.012435608774259	2.59374281810533	**
HCV1B_aligned.cds.fasta	NS1	133.960317460317	55.0396825396825	3.91904761904762	15.8619047619048	0.0292552876355234	0.288190338860851	0.00891232806213404	0.0301858922241177	-0.258935051225327	0.101513769514838	0.0301466978585071	-8.58916795599417	***
HCV1B_aligned.cds.fasta	NS4B	567.833333333333	203.166666666667	25.6309523809524	34.4119047619047	0.0451381609291794	0.169377710066799	0.00486151906739353	0.0137982588146602	-0.12423954913762	0.266494103098795	0.0157546221619949	-7.88591105899858	***
HCV1B_aligned.cds.fasta	E1	430.103174603175	145.753968253968	13.35	34.5119047619047	0.0310390640857675	0.236781922134495	0.00531921795723679	0.0190129201262478	-0.205742858048727	0.131087136238961	0.0202223892193362	-10.174013358026	***
HCV1B_aligned.cds.fasta	NS3	1322.00793650793	514.992063492063	135.938095238096	15.3380952380952	0.102826988767688	0.0297831681795065	0.00356770681590724	0.0041555116535726	0.0730438205881813	3.45252016669072	0.00550017310850223	13.2802766653416	***
HCV1B_aligned.cds.fasta	NS4A	118.706349206349	38.4365079365079	12.3547619047619	3.31666666666667	0.104078357959484	0.0862894899855461	0.0133070100952421	0.0282060927840042	0.0177888679739377	1.20615335630002	0.0314129971067654	0.566290058649211	
HCV1B_aligned.cds.fasta	E2	758.296825396825	246.703174603175	33.9606934001671	70.3608604845447	0.0447854880341812	0.285204519956912	0.00533401761946063	0.0135348220553104	-0.240419031922731	0.157029376816845	0.014543887231465	-16.5305896626175	***
HCV1B_aligned.cds.fasta	HVR1	31.4412698412698	11.4230158730159	3.83521303258145	1.72092731829574	0.121980220644503	0.150654375116559	0.0293248657579218	0.0352588145752995	-0.0286741544720559	0.809669288065009	0.0418354021079451	-0.685404060371403	
