"","gene","Betw1A3A","Betw1B3A","Betw1A1B"
"1","Core",0.193717277486911,0.287958115183246,0.240837696335079
"2","HVR1",0,0,0
"3","NS2",0.0276497695852535,0.032258064516129,0.0230414746543779
"4","E2",0.064327485380117,0.0614035087719298,0.0526315789473684
"5","NS1",0.0158730158730159,0.0634920634920635,0.0317460317460317
"6","E1",0.0572916666666667,0.046875,0.046875
"7","NS4A",0.037037037037037,0.037037037037037,0.037037037037037
"8","NS3",0.0110935023771791,0.0126782884310618,0.0301109350237718
"9","NS5A",0.0588235294117647,0.0565610859728507,0.0542986425339367
"10","NS4B",0.0344827586206897,0.0498084291187739,0.0344827586206897
"11","NS5B",0.0735294117647059,0.0588235294117647,0.0264705882352941
