merged.pos,gene,mean.1A,mean.1B,mean.3A
286,5'UTR,0.000913585,0.000753752,0.000600131
287,5'UTR,0.000638225,0.000716901,0.000882494
288,5'UTR,0.000385292,0.000101489,0.000718797
289,5'UTR,0.000504155,0.00041706,0.000527506
290,5'UTR,0.000667392,0.000455568,0.000657841
291,5'UTR,0.000456985,0.000358451,0.000557017
292,5'UTR,0.000650568,0.000617829,0.000878397
293,5'UTR,0.000592148,0.00035617,0.00059274
294,5'UTR,0.005345379,0.017748125,0.005427723
295,5'UTR,0.002869802,NA,0.002251451
296,5'UTR,0.004355648,NA,0.01119039
297,5'UTR,0.000997922,NA,0.001619153
298,5'UTR,0.000781663,0.000287661,0.000790714
299,5'UTR,0.000990635,0.000853812,0.001101719
300,5'UTR,0.000925191,0.000945016,0.00073985
301,5'UTR,0.000820076,0.000628341,0.000737421
302,5'UTR,0.000964186,0.001005768,0.001030735
303,5'UTR,0.000642535,0.000391096,0.000703067
304,5'UTR,0.000817134,0.001239753,0.000761698
305,5'UTR,0.000979321,0.001190834,0.001102017
306,5'UTR,0.001002917,0.000713511,0.000849222
307,5'UTR,0.000520582,0.00029088,0.000472991
308,5'UTR,0.001588121,0.001594994,0.001910525
309,5'UTR,0.000555681,0.000424566,0.000476231
310,5'UTR,0.000656595,0.000371025,0.000565775
311,5'UTR,0.00049177,0.000411233,0.000377525
312,5'UTR,0.000747443,0.000399192,0.001165062
313,5'UTR,0.000564752,0.000397348,0.000401421
314,5'UTR,0.0006273,0.000480345,0.000720606
315,5'UTR,0.00117124,0.000982332,0.001691145
316,5'UTR,0.011128637,0.011665464,0.014567723
317,5'UTR,0.005028375,0.002861068,0.003424429
318,5'UTR,0.001678414,0.001724684,0.002377571
319,5'UTR,0.00136122,0.00108694,0.001309936
320,5'UTR,0.001034132,0.001094496,0.001386067
321,5'UTR,0.006485822,0.004330492,0.006082339
322,5'UTR,0.001472414,0.001431006,0.001348772
323,5'UTR,0.000643015,0.000771967,0.000752182
324,5'UTR,0.004274307,0.004352472,0.005723584
325,5'UTR,0.002386465,0.000874632,0.001132131
326,5'UTR,0.00540516,0.003982572,0.005600973
327,5'UTR,0.002106265,0.00224226,0.001830476
328,5'UTR,0.003796175,0.003433232,0.004172785
