"","1A-1B","1A-3A","1B-3A"
"5' UTR",0.400952067682964,0.431756197453292,0.551304890803666
"Core",0.0463817771520837,0.0776451401919126,0.609263227165547
"E1",9.16099077936774e-05,6.85947593872263e-05,0.431831874205389
"HVR1",0.0460018158997422,0.0934509516844735,0.734474479970909
"E2",0.0111291273795853,0.000122547277190084,0.134290825124915
"NS1",0.111739654682235,0.00333997616141205,0.0686859945085508
"NS2",0.00444639489414933,1.53363787950598e-05,0.0523552685549556
"NS3",0.000186216377325297,7.38177312881277e-06,0.26260856572027
"NS4A",0.0660595553073842,0.0210544943081494,0.369228696899926
"NS4B",0.00445251106164518,0.00392986485283679,0.507356373290726
"NS5A",1.66317735110689e-06,2.15986057590693e-05,0.743250012425171
"NS5B",0.00402276879389933,0.0126479439273333,0.67414301963751
