"","1A-1B","1A-3A","1B-3A"
"5' UTR",0.365863868170723,0.465333691205871,0.666668674752874
"Core",0.182434948963212,0.255880973827497,0.525173302468448
"E1",0.00105565998752441,0.00136074527051431,0.413253855371691
"HVR1",0.163694272186783,0.165912970439578,0.553241045284047
"E2",0.0595659327090323,0.0753099754653391,0.4983068984449
"NS1",0.00200277650305341,0.00168468824021676,0.490011517232521
"NS2",0.0136253990165443,0.000171421308623673,0.0867164042954246
"NS3",0.00443433290498697,0.0209778651427384,0.707326207813318
"NS4A",0.0553375905947323,0.0820354190501763,0.61045715110735
"NS4B",0.0397768331098066,0.250424358294688,0.84713525204014
"NS5A",0.0112658934400632,0.010547376063803,0.538486141881247
"NS5B",0.101368940370409,0.296903526042368,0.807989387723458
