"","Gene","Geno.1A","Geno.1B","Geno.3A"
"1","Core",0.346916975097908,0.432586408265516,0.349490227239986
"2","E1",0.316572286572821,0.337397438651328,0.432614451755132
"3","HVR1",1.43178451455125,1.6164799322885,1.07655319954427
"4","E2",0.310654790594324,0.381931928230174,0.399610972624704
"5","NS1(P7)",0.445121676075089,0.283844413491207,0.319260968217799
"6","NS2",0.347106787146296,0.325169290394178,0.321312365276425
"7","NS3",0.252400215216399,0.260271257848475,0.297385165881442
"8","NS4A",0.36278280538356,0.323296011762756,0.287333088841446
"9","NS4B",0.243375230968967,0.229302570294734,0.274284382828962
"10","NS5A",0.323982644784272,0.354403403810459,0.341033800262182
"11","NS5B",0.314913568951335,0.389185321054986,0.400008575674772
