Site,Partition,Syn,Nonsyn,&beta;-&alpha;,Prob[&alpha;>&beta;],Prob[&alpha;<&beta;],BayesFactor[&alpha;<&beta;],PSRF,Neff
1,1,2.37,0.007,-2.363,0.99,0.003,0.037,1.005,260.858
2,1,0.162,0.012,-0.15,0.809,0.073,1.027,1.007,211.455
3,1,1.174,0.008,-1.166,1,0,0,1.012,150.494
4,1,0.044,0.089,0.045,0.119,0.691,29.321,1.011,162.04
5,1,0.075,0.014,-0.06,0.663,0.136,2.052,1.009,179.275
6,1,0.119,0.012,-0.107,0.772,0.087,1.241,1.008,196.619
7,1,1.141,0.009,-1.132,1,0,0,1.096,28.414
8,1,0.116,0.021,-0.096,0.72,0.134,2.028,1.009,183.869
9,1,0.11,0.013,-0.097,0.752,0.099,1.431,1.008,191.379
10,1,0.403,0.545,0.142,0.267,0.661,25.462,1.026,84.063
11,1,0.109,0.089,-0.02,0.284,0.524,14.397,1.005,255.199
12,1,0.114,0.178,0.064,0.206,0.66,25.373,1.009,180.606
13,1,0.052,0.215,0.163,0.061,0.845,71.147,1.026,84.1
14,1,0.412,0.009,-0.403,0.986,0.002,0.022,1.007,217.306
15,1,0.139,0.01,-0.128,0.8,0.071,1.004,1.007,205.63
16,1,0.148,0.124,-0.025,0.317,0.52,14.145,1.004,266.275
17,1,2.804,0.016,-2.787,1,0,0,1.019,108.546
18,1,0.137,0.014,-0.123,0.777,0.092,1.325,1.008,200.767
19,1,0.099,0.013,-0.087,0.738,0.101,1.467,1.009,186.829
20,1,0.792,0.021,-0.772,0.988,0.004,0.046,1.007,212.196
21,1,0.161,0.014,-0.146,0.795,0.085,1.216,1.007,207.634
22,1,7.125,0.011,-7.114,1,0,0,1.006,223.785
23,1,0.329,0.011,-0.317,0.875,0.047,0.642,1.005,243.079
24,1,0.412,0.008,-0.405,0.988,0.001,0.014,1.007,210.129
25,1,0.246,0.011,-0.235,0.854,0.053,0.733,1.006,232.253
26,1,0.562,0.128,-0.434,0.968,0.016,0.217,1.055,45.467
27,1,2.767,0.018,-2.749,1,0,0,1.024,90.709
28,1,1.101,0.013,-1.088,1,0,0,1.09,30.047
29,1,0.327,0.021,-0.305,0.841,0.076,1.076,1.006,223.947
30,1,0.15,0.01,-0.141,0.815,0.063,0.885,1.007,210.457
31,1,0.711,0.012,-0.699,1,0,0.001,1.044,54.575
32,1,0.147,0.01,-0.137,0.95,0.008,0.103,1.006,233.55
33,1,0.097,0.018,-0.079,0.703,0.134,2.022,1.009,181.658
34,1,0.074,0.015,-0.059,0.655,0.143,2.186,1.009,179.365
35,1,0.161,0.012,-0.149,0.805,0.076,1.08,1.007,210.446
36,1,0.057,0.111,0.055,0.138,0.686,28.53,1.012,151.978
37,1,0.343,0.211,-0.132,0.657,0.224,3.772,1.018,109.815
38,1,0.246,0.011,-0.235,0.854,0.053,0.733,1.006,232.253
39,1,0.137,0.014,-0.123,0.777,0.092,1.325,1.008,200.767
40,1,0.257,0.012,-0.245,0.853,0.056,0.781,1.006,232.355
