"","1A-1B","1A-3A","1B-3A"
"5' UTR",0.437880313822777,0.433990614832563,0.520781547021933
"Core",0.0951451056533995,0.105059356767719,0.523771335895804
"E1",0.000734155917257426,9.06882788386394e-05,0.240018503874798
"HVR1",0.00935610763836395,0.0408412649827626,0.716956568893509
"E2",0.0183180671947142,8.05415790836427e-06,0.0174710673082466
"NS1",0.259462962113846,0.00391571514957404,0.0227666127804986
"NS2",0.0205507245490965,1.72881937847601e-06,0.00353331470363824
"NS3",0.000816187915013428,2.96801889702521e-08,0.0107524255433434
"NS4A",0.145774872594026,0.0388267087637763,0.241934710054943
"NS4B",0.0617277548504528,0.00119376163688258,0.0541126357011586
"NS5A",0.000147558808817331,4.17512909209214e-05,0.29304019630879
"NS5B",0.0290127854434807,0.00324907887531321,0.171109471213773
