"","1A-1B","1A-3A","1B-3A"
"5' UTR",0.148187963843219,0.531561546063892,0.885699727496944
"Core",0.249146036153696,0.279451523871147,0.546168913973432
"E1",0.0306294379784407,0.006750189886145,0.249063715142789
"HVR1",0.169700682499928,0.386464656744194,0.737484277398433
"E2",0.0617651589300157,0.0277821544420797,0.344435436859919
"NS1",0.0222082444404814,0.00660370154249525,0.250631786108133
"NS2",0.0479462232121849,0.00234078800593974,0.133333008908811
"NS3",0.0141427720936793,0.000567251526162273,0.129554639150162
"NS4A",0.0958812977358603,0.117414891037462,0.523399174798371
"NS4B",0.0985437390339008,0.0205514547747923,0.185204655357185
"NS5A",0.100367476489795,0.00616115990914643,0.0999017304939238
"NS5B",0.387224310418756,0.160228606014815,0.236039544931738
