"","Gene","Counts","Total","Expected","Difference"
"1","Core",7,473,23.5789287608273,-70.3124765717542
"2","E1",21,374,18.6438041364681,12.6379565365798
"3","HVR1",6,25,1.2462435920099,381.446808510638
"4","E2",46,706,35.1939190383596,30.7043979667691
"5","NS1(P7)",7,110,5.48347180484356,27.6563507414571
"6","NS2",24,387,19.2918508043132,24.4048600802683
"7","NS3",69,1330,66.3001590949266,4.072148456247
"8","NS4A",7,112,5.58317129220435,25.3767730496454
"9","NS4B",36,543,27.068410818455,32.9963559421653
"10","NS5A",36,876,43.6683754640269,-17.5604779947537
"11","NS5B",23,669,33.3494785221849,-31.0334043613311
