"","Gene","Counts","Total","Expected","Difference"
"1","Core",9,522,26.0756302521008,-65.4850145020948
"2","E1",18,433,21.6297852474323,-16.7814206470829
"3","HVR1",8,36,1.79831932773109,344.859813084112
"4","E2",48,752,37.5648926237162,27.7788824816067
"5","NS1(P7)",15,144,7.19327731092437,108.528037383178
"6","NS2",29,450,22.4789915966387,29.0093457943925
"7","NS3",82,1515,75.6792717086835,8.35199407791247
"8","NS4A",9,143,7.14332399626517,25.9917652441017
"9","NS4B",24,592,29.5723622782446,-18.8431422076282
"10","NS5A",50,1003,50.1031746031746,-0.205924283225087
"11","NS5B",29,783,39.1134453781513,-25.8566978193146
