"","Gene","Geno.1A","Geno.1B","Geno.3A"
"1","Core",0.346916975097908,0.432090413161892,0.345477233236273
"2","E1",0.316572286572821,0.322780567274439,0.435219899389036
"3","HVR1",1.43178451455125,2.09027565758216,1.10284665198985
"4","E2",0.310654790594324,0.372650984711853,0.40535641159405
"5","NS1(P7)",0.445121676075089,0.27945201988562,0.303883977617881
"6","NS2",0.347106787146296,0.337638211209398,0.317298766163494
"7","NS3",0.252400215224487,0.260429945518267,0.289331648263037
"8","NS4A",0.3627828055474,0.319253591092319,0.287320369834499
"9","NS4B",0.243375230883521,0.232158581696495,0.262995098935159
"10","NS5A",0.32398264480772,0.365546594390763,0.326693292650853
"11","NS5B",0.314913568993227,0.370716641165477,0.378076176091783
