"","1A-1B","1A-3A","1B-3A"
"5' UTR",0.168798259731813,0.591261849662719,0.873056350085463
"Core",0.10445710637245,0.0816092837316314,0.464763681788442
"E1",0.0310123613098532,0.00493258943413467,0.221980629878898
"HVR1",0.0964796653834904,0.300465251352357,0.749508193574919
"E2",0.0738651471597037,0.00440601059614171,0.122058814861224
"NS1",0.0659969911311834,0.00350428874631506,0.0924122432767981
"NS2",0.0407965379220296,0.00237944300229522,0.149554860819225
"NS3",0.00768986489338522,9.00361407114128e-06,0.0303261324756871
"NS4A",0.0875747121833428,0.0751187817039804,0.454096000876066
"NS4B",0.0453671626044752,0.00419610690137195,0.136496291819934
"NS5A",0.0136539636467162,0.00126306646159655,0.168712483409436
"NS5B",0.112852630702174,0.105964372103438,0.47277992991519
