"","Gene","Counts","Total","Expected","Difference"
"1","5' UTR",1,77,3.85283296541575,-74.0450725744843
"2","Core",14,461,23.0669610007358,-39.3071328314406
"3","E1",23,359,17.9632082413539,28.0394887760118
"4","HVR1",8,41,2.05150846210449,289.956958393113
"5","E2",44,667,33.3745401030169,31.837022665138
"6","NS1",6,105,5.25386313465784,14.2016806722689
"7","NS2",15,335,16.7623252391464,-10.513608428446
"8","NS3",52,1284,64.2472406181015,-19.062671797691
"9","NS4A",10,112,5.60412067696836,78.4401260504202
"10","NS4B",27,509,25.4687270051508,6.01236565353057
"11","NS5A",47,812,40.6298749080206,15.678426543031
"12","NS5B",25,674,33.7247976453274,-25.8705707802409
