"","Gene","Counts","Total","Expected","Difference"
"1","5' UTR",0,78,3.89690721649485,-100
"2","Core",7,500,24.9801744647105,-71.9777777777778
"3","E1",27,415,20.7335448057098,30.223752151463
"4","HVR1",12,50,2.49801744647105,380.380952380952
"5","E2",41,725,36.2212529738303,13.1932129173508
"6","NS1",10,137,6.84456780333069,46.1012628895841
"7","NS2",30,426,21.2831086439334,40.9568522244579
"8","NS3",65,1481,73.9912767644726,-12.1518064799631
"9","NS4A",10,143,7.14432989690722,39.97113997114
"10","NS4B",31,572,28.5773195876289,8.47763347763347
"11","NS5A",58,985,49.2109436954798,17.8599629361051
"12","NS5B",24,793,39.6185567010309,-39.4223263075722
