"","Gene","Counts","Total","Expected","Difference"
"1","5' UTR",0,77,3.84790874524715,-100
"2","Core",15,453,22.6376969038566,-33.7388424992802
"3","E1",22,354,17.6903856599674,24.361336281012
"4","HVR1",8,43,2.14883215643672,272.295247724975
"5","E2",49,676,33.7816404128191,45.049202469771
"6","NS1",10,103,5.14720260727865,94.2802870409455
"7","NS2",23,364,18.1901140684411,26.4423076923077
"8","NS3",43,1296,64.7648017381858,-33.605911164788
"9","NS4A",8,110,5.49701249321021,45.5335968379447
"10","NS4B",23,520,25.9858772406301,-11.4903846153846
"11","NS5A",53,848,42.376969038566,25.0679347826087
"12","NS5B",22,679,33.9315589353612,-35.1636037651277
