Genotype,Gene,Pairwise identity,Identical Sites,GC,length
1A,5'UTR,99.9,96.2,66,53
1A,Core,96.5,65.3,62.9,573
1A,E1,91.3,43.6,59.1,576
1A,HVR1,55,0,63.5,81
1A,E2,89.6,43.4,57.6,1010
1A,NS1,90.5,37.6,59.8,189
1A,NS2,90.6,41.6,58.8,651
1A,NS3,92.6,54,59.2,1893
1A,NS4A,92.7,49.4,58.6,162
1A,NS4B,92.6,53.1,60.9,783
1A,NS5A,91.6,42.7,59.8,1344
1A,NS5B ,93.8,55.2,55.7,1012
1B,5'UTR,99.8,98,66.6,51
1B,Core,96.2,82,62.8,573
1B,E1,91.7,68.8,58.5,576
1B,HVR1,76.2,38.3,63.5,81
1B,E2,89.4,61.7,58,1010
1B,NS1,89.5,60.3,60,189
1B,NS2,88.8,57.8,58.6,651
1B,NS3,91.5,68.5,59.3,1893
1B,NS4A,89.7,66,58.7,162
1B,NS4B,92.2,69.2,60.4,783
1B,NS5A,90.9,63.5,61,1341
1B,NS5B ,93.5,74.9,55.7,1025
3A,5'UTR,99.8,96.1,64.8,51
3A,Core,95.2,74.9,60.5,573
3A,E1,91.7,54.9,55.5,576
3A,HVR1,69.7,16,55.5,81
3A,E2,89.7,53.1,54.4,1026
3A,NS1,91.3,52.4,60,189
3A,NS2,91.8,56.7,54,651
3A,NS3,92.9,65,55,1893
3A,NS4A,93,64.8,56.6,162
3A,NS4B,92.9,63.1,55.8,783
3A,NS5A,91.5,57.4,57.6,1356
3A,NS5B ,94.3,70.5,55.2,1030
