"","1A","1B","3A"
"5' UTR",0.532193686195991,0.248324386726556,0.684146864900757
"Core",2.86620185669837e-30,1.11099958050905e-21,3.2650034366749e-22
"E1",1.95716309140397e-47,2.16628665300721e-36,1.23261633998319e-30
"HVR1",0.266127827379478,0.0988363969647585,0.0324573867235427
"E2",6.94892078135139e-99,4.7497305643843e-68,2.98409341740255e-53
"NS1",1.03279634681877e-13,3.95918137168839e-21,4.14765590167364e-13
"NS2",1.73330353974526e-54,4.98286469863219e-51,2.88244451173421e-55
"NS3",5.97683503388192e-204,8.02362936497806e-170,5.87877424213166e-148
"NS4A",7.15190567482865e-15,8.0267443109835e-15,5.15077627919989e-14
"NS4B",1.62077679284395e-82,2.26694261988863e-75,5.15041064774999e-62
"NS5A",9.54300202302794e-109,1.32264116840645e-76,7.63214353412033e-85
"NS5B",1.95541968627687e-53,8.44145779552017e-40,4.84685601485394e-34
