"","gene","SC","se","AT","MF","mf.se","CpG","CpG.se","Ratio"
"1","Core",0.00274107460612072,6.9930958597148e-05,0.374125874125874,0.00558810238633709,0.00022384745389112,0.00580730599779222,0.000514497876103774,1.0392268423698
"2","E1",0.00244033450480413,6.74866456091376e-05,0.402826855123675,0.00655530216368989,0.000298319621717123,0.00546677239390282,0.000368533585488694,0.833946667505812
"3","E2",0.00245330090028445,5.39061947939891e-05,0.421428571428571,0.00654739172310824,0.000223215067059187,0.0058645368949347,0.000313977439139428,0.895705823471126
"4","HVR1",0.00180056729096052,0.000193529649258731,0.333333333333333,0.00905060627542049,0.00118055809355748,0.00734586021020545,0.00132481087418299,0.811642887411336
"5","NS1",0.00222350698853994,0.000112616351087195,0.391304347826087,0.00662714543820776,0.000487418509610838,0.00724159668049342,0.00103831823392475,1.0927173317705
"6","NS2",0.0023640556034747,6.70777774755493e-05,0.414673046251994,0.00697228527194039,0.000280101765627942,0.00562645450220987,0.000374678936494226,0.806974224771503
"7","NS3",0.00266557503455609,4.23300949582238e-05,0.402067464635473,0.0059949804812895,0.000155190698888208,0.00623864969055171,0.000274217270812764,1.04064553838377
"8","NS4A",0.00270143865493567,0.000156683219718358,0.4,0.00527323014566425,0.000420788438829617,0.00534199310399837,0.000763208172440467,1.01304000706107
"9","NS4B",0.00263879860882008,6.64606749777689e-05,0.376502002670227,0.00581285014271792,0.000240089618813688,0.006279122930183,0.000427936246650205,1.08021414211911
"10","NS5A",0.00258003686978814,4.8011377586337e-05,0.397185301016419,0.00629431135965555,0.00018242012394443,0.00626273865092071,0.000309893395580833,0.994983929626168
"11","NS5B",0.00291569847071275,5.83908366289388e-05,0.442328042328042,0.00546267326098466,0.000165369201094213,0.00511875564285355,0.000233266401987987,0.937042249883874
