"","1A-1B","1A-3A","1B-3A"
"5' UTR",0.29849850454473,0.595198207499372,0.773247120611499
"Core",0.257986719858826,0.0454487146582779,0.124702051317744
"E1",0.000290343294508617,4.18417186147641e-05,0.153245950753534
"HVR1",0.22605052760987,0.0602464427919003,0.36895008124689
"E2",0.0612825243761646,0.010043958520353,0.177502956514362
"NS1",0.0015384393211562,0.000438352179011308,0.36091882165441
"NS2",0.0315499455227586,3.72519380265918e-06,0.00682698917509535
"NS3",0.00451243929346473,8.37113661789775e-05,0.12585627118316
"NS4A",0.0702146758498335,0.149248487148009,0.743277929583885
"NS4B",0.0136517665590501,0.0838850795804037,0.783605036894803
"NS5A",0.00517059307700525,1.64743990390957e-05,0.0549494059846967
"NS5B",0.500402558972206,0.0262331606710969,0.0345512636650733
