"","comb","piT","piS.ave","Fst"
"1","D75046- D75054-",0.0421641044204346,0.0135751301960516,0.67804058967579
"2","D75046- D75064-",0.0353719319128586,0.0135996515501439,0.615524207621804
"3","D75046- D75066-",0.0414968492087093,0.0130309898049115,0.685976404151268
"4","D75046- D75077-",0.0419967462296364,0.0122894312826873,0.707371823152935
"5","D75046- D75079-",0.0419512683501187,0.0132472573704595,0.684222720993797
"6","D75046- D75150-",0.0401536211019827,0.0107143571015433,0.733165856341305
"7","D75046- D75173-",0.0501767160655665,0.0129759476972019,0.741395039080555
"8","D75046- D75201-",0.0448789661929949,0.0122739283042546,0.726510449205258
"9","D75046- D75211-",0.0347548677525724,0.011846201530719,0.659149860242463
"10","D75046- D75224-",0.0353815888493855,0.0110667671420614,0.687216784153727
"11","D75046- D75239-",0.0318225300220113,0.0112126260174655,0.647651333514026
"12","D75046- D75240-",0.0285837299447667,0.0112919851038649,0.604950609116276
"13","D75046- D75251-",0.0385080982697682,0.0112231254916679,0.708551551597162
"14","D75046- D75290-",0.0366976047992683,0.0121093276920106,0.670024031316286
"15","D75046- D75292-",0.027944273412182,0.0131161444019184,0.530632118844048
"16","D75046- D75315-",0.0442464367661083,0.0129281507683898,0.70781487248952
"17","D75046- D75327-",0.0470879667243637,0.0134807460103512,0.713711443748192
"18","D75046- D75338-",0.0363468176071132,0.0111877212189713,0.692195301940771
"19","D75046- D75366-",0.0483696928220436,0.0137642238885553,0.715437020880096
"20","D75046- D75383R",0.0426143178430309,0.0129224115456042,0.69675892517619
"21","D75054- D75064-",0.0463545271984208,0.0129748281524296,0.720095771942817
"22","D75054- D75066-",0.0518550473177913,0.0124061664071973,0.760752963329362
"23","D75054- D75077-",0.0505882176663728,0.0116646078849731,0.769420461461981
"24","D75054- D75079-",0.0523331881006942,0.0126224339727453,0.758806324803709
"25","D75054- D75150-",0.0440949810079866,0.010089533703829,0.771186346536773
"26","D75054- D75173-",0.0467345965062132,0.0123511242994877,0.735717750385507
"27","D75054- D75201-",0.0431708295265337,0.0116491049065404,0.730162588157345
"28","D75054- D75211-",0.0491320437284536,0.0112213781330048,0.771607747582741
"29","D75054- D75224-",0.0494342288731995,0.0104419437443472,0.788770979494165
"30","D75054- D75239-",0.0490907223961757,0.0105878026197513,0.784321718993972
"31","D75054- D75240-",0.0496917762580959,0.0106671617061507,0.78533345938881
"32","D75054- D75251-",0.0439853206946486,0.0105983020939537,0.759049111690503
"33","D75054- D75290-",0.0493783100340249,0.0114845042942964,0.767418036656523
