"","comb","piT","piS.ave","Fst"
"1","D75002 D75004",0.0434889135094918,0.01899230190654,0.56328405623666
"2","D75002 D75009",0.0406643048508956,0.0162082511816263,0.601413297459349
"3","D75002 D75010",0.0482208563045586,0.0146557860061049,0.696069561404297
"4","D75002 D75011",0.0535364318925132,0.0139418995468823,0.739581084244205
"5","D75002 D75012",0.0415213027595166,0.0207587761229723,0.500045163727084
"6","D75002 D75015",0.0431436857122521,0.0195709865749502,0.546376572797246
"7","D75002 D75016",0.0471350156666129,0.0135366835808656,0.712810457588241
"8","D75002 D75017",0.0464742146439414,0.0187786759712098,0.595933441477577
"9","D75002 D75018",0.0369526477736835,0.0152452701779978,0.587437677771633
"10","D75002 D75046",0.125114840228019,0.0178725777167985,0.857150617111239
"11","D75002 D75054",0.143370338569284,0.0178725777167985,0.875339781609279
"12","D75002 D75064",0.152503868250045,0.0178725777167985,0.882805741769811
"13","D75002 D75066",0.143551396333316,0.0178725777167985,0.875497012405929
"14","D75002 D75077",0.134760220323085,0.0178725777167985,0.867374974054292
"15","D75002 D75079",0.147810639700217,0.0178725777167985,0.879084633196589
"16","D75002 D75150",0.106631722423195,0.0178725777167985,0.832389674379763
"17","D75002 D75173",0.119492641146046,0.0178725777167985,0.850429469585878
"18","D75002 D75201",0.118872655143264,0.0178725777167985,0.849649377350421
"19","D75002 D75211",0.143986720740914,0.0178725777167985,0.87587343037725
"20","D75002 D75003",0.214423065183873,0.0178725777167985,0.916648063483878
"21","D75002 D75007",0.25734308432613,0.0178725777167985,0.930549609430543
"22","D75002 D75008",0.197400704878145,0.0178725777167985,0.909460415919836
"23","D75002 D75013",0.138676215943679,0.0178725777167985,0.871120093700443
"24","D75002 D75020",0.168352429599067,0.0178725777167985,0.893838314306706
"25","D75002 D75038",0.218370030029045,0.0178725777167985,0.918154621701424
"26","D75002 D75050",0.267630208683069,0.0178725777167985,0.933219131708845
"27","D75002 D75073",0.23135165009721,0.0178725777167985,0.922747135327158
"28","D75002 D75078",0.209347404272334,0.0178725777167985,0.914627182606245
"29","D75002 D75091",0.201171595012814,0.0178725777167985,0.911157548282798
"30","D75004 D75009",0.0414767031585427,0.0173279753713678,0.582223897952244
"31","D75004 D75010",0.0477402414520093,0.0157755101958464,0.669555290965492
"32","D75004 D75011",0.0540738653638499,0.0150616237366238,0.72146204760326
"33","D75004 D75012",0.0407953652336402,0.0218785003127138,0.463701325201702
