"","comb","piT","piS.ave","Fst"
"1","D75046 D75054",0.0463259605080873,0.0204602821256916,0.558340897818626
"2","D75046 D75064",0.0399895249158383,0.0189706451629434,0.525609638952479
"3","D75046 D75066",0.0455343473071569,0.018322538555303,0.597610603009057
"4","D75046 D75077",0.0457488078269269,0.0165626686340503,0.637965022023989
"5","D75046 D75079",0.0457805403321042,0.0204873109499911,0.55248865999897
"6","D75046 D75150",0.0439918159594352,0.0143820033837142,0.673075478471364
"7","D75046 D75173",0.0565062978567163,0.0220170895579139,0.610360430730342
"8","D75046 D75201",0.0482863044554752,0.0217674095774076,0.549201169505956
"9","D75046 D75211",0.0377230530368707,0.0187699443919787,0.502427749587691
"10","D75046 D75224",0.038767477369689,0.0147234635262978,0.620210946771337
"11","D75046 D75239",0.0343705427674852,0.0173829990115497,0.494247177615299
"12","D75046 D75240",0.0307739209855015,0.0154585394450449,0.497674038601454
"13","D75046 D75251",0.0415419188335411,0.0148992973259357,0.641343063962997
"14","D75046 D75290",0.0398361935714154,0.0169312792163934,0.574977484080143
"15","D75046 D75292",0.0308757570050851,0.0171822662211133,0.443502997569147
"16","D75046 D75315",0.0479553317105908,0.0206757457989749,0.568854076044088
"17","D75046 D75327",0.0512784793109751,0.0210817840740183,0.588876574397436
"18","D75046 D75338",0.0402257117581672,0.0149464827001239,0.62843459949247
"19","D75046 D75366",0.0524140471554176,0.0208893496089717,0.601455130014463
"20","D75046 D75383",0.0459706638699855,0.0189989658204451,0.586715434996151
"21","D75054 D75064",0.0532311818808404,0.0185365973054422,0.651771825263302
"22","D75054 D75066",0.0567344814126131,0.0178884906978019,0.684698083909427
"23","D75054 D75077",0.0547600381224477,0.0161286207765492,0.705467320156273
"24","D75054 D75079",0.0564692630671364,0.0200532630924901,0.644881799348989
"25","D75054 D75150",0.0477842896182106,0.0139479555262131,0.70810583064737
"26","D75054 D75173",0.0529613268387207,0.0215830417004128,0.592475434648038
"27","D75054 D75201",0.0461563796793507,0.0213333617199064,0.537802534165163
"28","D75054 D75211",0.0535788409244167,0.0183358965344775,0.657777282633944
"29","D75054 D75224",0.0535059517048107,0.0142894156687967,0.732937828157312
"30","D75054 D75239",0.0528501610164267,0.0169489511540486,0.679301806691174
"31","D75054 D75240",0.0536508273099866,0.0150244915875438,0.719957876870482
"32","D75054 D75251",0.0475497388686352,0.0144652494684346,0.695786984058998
"33","D75054 D75290",0.0538564089414031,0.0164972313588923,0.69368118515214
"34","D75054 D75292",0.0547771941966134,0.0167482183636121,0.694248334379865
"35","D75054 D75315",0.0530483922718204,0.0202416979414738,0.618429568275035
"36","D75054 D75327",0.0510736688111346,0.0206477362165172,0.595726394889106
"37","D75054 D75338",0.0528644068726571,0.0145124348426228,0.725478148698781
"38","D75054 D75366",0.0505320109402589,0.0204553017514706,0.595201113692987
"39","D75054 D75383",0.0429795655262208,0.018564917962944,0.568052451539604
"40","D75064 D75066",0.0533595145704704,0.0163988537350537,0.692672359052365
"41","D75064 D75077",0.0488384879566034,0.0146389838138009,0.7002572269066
"42","D75064 D75079",0.0526676356921946,0.0185636261297418,0.647532571269514
"43","D75064 D75150",0.0396585566242605,0.0124583185634648,0.685860514756009
"44","D75064 D75173",0.025138723115247,0.0200934047376646,0.200699071088552
"45","D75064 D75201",0.0479023688879499,0.0198437247571582,0.585746483570043
"46","D75064 D75211",0.048306465101995,0.0168462595717293,0.651262837465754
"47","D75064 D75224",0.0480206924450564,0.0127997787060484,0.733452850129275
"48","D75064 D75239",0.046026860093449,0.0154593141913004,0.664124075378744
"49","D75064 D75240",0.0487474685255627,0.0135348546247956,0.722347538566069
"50","D75064 D75251",0.0505747377271975,0.0129756125056863,0.743436879975979
"51","D75064 D75290",0.0534611107932697,0.0150075943961441,0.719280161346117
"52","D75064 D75292",0.0546073987066638,0.0152585814008639,0.72057666612488
"53","D75064 D75315",0.0475912609083739,0.0187520609787256,0.605976798664184
"54","D75064 D75327",0.0448755575385348,0.0191580992537689,0.573083872276844
"55","D75064 D75338",0.0480799502181376,0.0130227978798745,0.729142858493189
"56","D75064 D75366",0.0465782964561309,0.0189656647887224,0.592821845543774
"57","D75064 D75383",0.0343912605851062,0.0170752810001958,0.503499414976649
"58","D75066 D75077",0.0560634609035705,0.0139908772061606,0.750445709546456
"59","D75066 D75079",0.0566931641885041,0.0179155195221015,0.683991539746616
"60","D75066 D75150",0.0438591341930283,0.0118102119558245,0.730724005999603
"61","D75066 D75173",0.0497222354413385,0.0194452981300242,0.608921482362444
"62","D75066 D75201",0.0517639776429421,0.0191956181495179,0.629170341546673
"63","D75066 D75211",0.0528079505101809,0.016198152964089,0.693262987720645
"64","D75066 D75224",0.0509007526273418,0.0121516720984081,0.761267339456181
"65","D75066 D75239",0.0520203256040173,0.01481120758366,0.715280375282461
"66","D75066 D75240",0.0529154607438475,0.0128867480171552,0.756465353679198
"67","D75066 D75251",0.0549457251564474,0.012327505898046,0.77564212933862
"68","D75066 D75290",0.0560784682664694,0.0143594877885037,0.743939372233361
"69","D75066 D75292",0.0561839389710186,0.0146104747932236,0.73995282173505
"70","D75066 D75315",0.0519060140463987,0.0181039543710852,0.651216632529284
"71","D75066 D75327",0.0502257274980813,0.0185099926461286,0.631463921615955
"72","D75066 D75338",0.0360181147717383,0.0123746912722342,0.656431455375783
"73","D75066 D75366",0.0360832443722165,0.018317558181082,0.492352794218632
"74","D75066 D75383",0.0385523854709557,0.0164271743925554,0.573899923652424
"75","D75077 D75079",0.054921215159942,0.0161556496008487,0.705839545723814
"76","D75077 D75150",0.0489844457448274,0.0100503420345717,0.794825849680395
"77","D75077 D75173",0.0516535858125663,0.0176854282087715,0.657614705144653
"78","D75077 D75201",0.0488563212957461,0.0174357482282651,0.643121959127463
"79","D75077 D75211",0.0544003994545391,0.0144382830428362,0.734592334107732
"80","D75077 D75224",0.0520833467475568,0.0103918021771553,0.800477449586267
"81","D75077 D75239",0.0533622351132278,0.0130513376624073,0.755419958802063
"82","D75077 D75240",0.0544710979273004,0.0111268780959025,0.795728771416488
"83","D75077 D75251",0.0517950078810823,0.0105676359767932,0.795971920671278
"84","D75077 D75290",0.0517510175983168,0.012599617867251,0.756533910790949
"85","D75077 D75292",0.0559801152750291,0.0128506048719708,0.770443401039172
"86","D75077 D75315",0.0540110896135644,0.0163440844498325,0.697393913606072
"87","D75077 D75327",0.0492322312501738,0.0167501227248758,0.659773235956745
"88","D75077 D75338",0.0510258486055574,0.0106148213509814,0.791971684135297
"89","D75077 D75366",0.0482882802241908,0.0165576882598292,0.65710751795351
"90","D75077 D75383",0.0424265432015125,0.0146673044713027,0.654289429104849
"91","D75079 D75150",0.0474694602302714,0.0139749843505126,0.705600521204142
"92","D75079 D75173",0.0526837471870062,0.0216100705247124,0.589815233756906
"93","D75079 D75201",0.0491941063435807,0.021360390544206,0.565793707176606
"94","D75079 D75211",0.053265480639982,0.0183629253587771,0.65525655381032
"95","D75079 D75224",0.0519014832199403,0.0143164444930962,0.724161168334474
"96","D75079 D75239",0.0534801427680364,0.0169759799783481,0.682574146221348
"97","D75079 D75240",0.0543973175985403,0.0150515204118433,0.723303995926313
"98","D75079 D75251",0.0538427956842792,0.0144922782927341,0.73084090250972
"99","D75079 D75290",0.0522803695080941,0.0165242601831918,0.683929927453295
"100","D75079 D75292",0.0553049334224094,0.0167752471879117,0.696677201294407
"101","D75079 D75315",0.0520235925970345,0.0202687267657733,0.610393558884499
"102","D75079 D75327",0.0495000767760975,0.0206747650408168,0.582328626795178
"103","D75079 D75338",0.0526208736087704,0.0145394636669223,0.723693989289851
"104","D75079 D75366",0.0513222679060599,0.0204823305757702,0.600907531731432
"105","D75079 D75383",0.0429485100614945,0.0185919467872435,0.567110785435321
"106","D75150 D75173",0.0534978246507965,0.0155047629584354,0.710179562259928
"107","D75150 D75201",0.0391169172637907,0.015255082977929,0.610013159394588
"108","D75150 D75211",0.0477606175275382,0.0122576177925001,0.743353029607866
"109","D75150 D75224",0.0416538809602256,0.00821113692681929,0.802872223727246
"110","D75150 D75239",0.0468466706356453,0.0108706724120712,0.767952081448457
"111","D75150 D75240",0.0446044158862624,0.00894621284556639,0.79943212644285
