"","window","no.N","no.S","pi.N","pi.S","N_over_S"
"1",1,18,1,0.00887612679332733,0.0158159365805142,0.561214111357974
"2",2,17,1,0.0101089178856652,0.015567834855312,0.64934642354687
"3",3,17,1,0.010371579491822,0.0159111985907409,0.651841495954776
"4",4,17,1,0.00951429817357068,0.0179478355061127,0.530108389411652
"5",5,17,1,0.00924428285472004,0.0184957291333599,0.499806349242353
"6",6,17,1,0.00953157977624028,0.0181698830711588,0.52458123912585
"7",7,17,1,0.0108560156548048,0.0173828204763694,0.624525557838136
"8",8,17,1,0.0132219246099115,0.0155127423403619,0.852326707929007
"9",9,18,9,0.0130742586227681,0.018453299045287,0.708505215825203
"10",10,18,9,0.0129005768015212,0.0160743815190813,0.802555095896377
"11",11,18,9,0.0116053822187675,0.0154598405854671,0.750679294175711
"12",12,17,1,0.0118907541853826,0.0154255381060111,0.770848582633817
"13",13,17,1,0.0117963915719931,0.0113451779805769,1.03977139822651
"14",14,17,1,0.0116690918816723,0.0162465459641988,0.718250630465488
"15",15,17,1,0.0123871409608194,0.0158727075343567,0.780405040161375
"16",16,17,1,0.0111141313081875,0.0187998254750818,0.591182685334966
"17",17,17,1,0.00902745325202766,0.019021443388769,0.474593492592567
"18",18,17,1,0.00857422064212627,0.0176245246236128,0.486493725376218
"19",19,17,1,0.008184214490334,0.0188143073067745,0.434999511642244
"20",20,17,1,0.00828161237807472,0.025924706182072,0.319448649481775
"21",21,17,1,0.0081007463731851,0.0256662065858601,0.315619152603873
"22",22,17,1,0.00801440162580284,0.025992155495334,0.308339245940628
"23",23,17,1,0.00732842651612166,0.0201113809303597,0.364392009752987
"24",24,17,1,0.00612275154980979,0.0209482752069117,0.292279506992043
"25",25,17,1,0.00574707326147333,0.0185471634678158,0.309862652121766
"26",26,17,1,0.00596692183161561,0.0198813531340422,0.300126545280193
"27",27,17,1,0.00612086590472238,0.0177998915748291,0.343870965673629
"28",28,16,1,0.00685068154384586,0.019168533810171,0.357392047388143
"29",29,15,1,0.00706459524659527,0.0133743212215938,0.528220844224152
"30",30,16,11,0.00686896244626876,0.0135028330039889,0.508705280161549
"31",31,16,11,0.00664615903890746,0.0131139387436634,0.506801134946498
"32",32,16,11,0.00680597817835468,0.0127322841386656,0.53454494921977
"33",33,16,11,0.00694386086503311,0.0120698111732241,0.575308160614603
"34",34,16,11,0.00715540417724518,0.0124752689807177,0.573567126152142
"35",35,16,11,0.00727397544231146,0.0116841854073252,0.62254878613542
"36",36,15,12,0.00733044406586611,0.0119170845582436,0.615120588432453
"37",37,16,11,0.00694325035781643,0.00945964530223611,0.733986332043037
"38",38,17,10,0.00682097485974857,0.00816676911554766,0.835210933876285
"39",39,17,10,0.00680115581757007,0.00827980881379611,0.821414596703941
"40",40,17,10,0.00682901706011846,0.0103573395669957,0.659340848675033
"41",41,17,10,0.00682791098089103,0.0121554262597727,0.561717115876668
"42",42,17,10,0.00697776969450912,0.0121591346062303,0.573870585406111
"43",43,17,10,0.00782291728756883,0.0109954185962385,0.711470620158563
"44",44,17,10,0.00754037403448407,0.0110562729213223,0.681999629363549
"45",45,18,9,0.00757088332910937,0.0113138976149397,0.669166682144289
"46",46,18,9,0.00761702883132205,0.0107955521519855,0.70557102814988
"47",47,18,9,0.00760842685020039,0.0106086140118196,0.717193296101024
"48",48,18,9,0.00807115051244363,0.0109870966536554,0.734602667735556
"49",49,17,1,0.00854775987850302,0.0100874480740621,0.847365935937939
"50",50,17,1,0.00836580125410094,0.00850501635453995,0.983631412964338
"51",51,17,1,0.00833596849572518,0.0142716329490011,0.58409353193943
"52",52,17,1,0.00714783319530586,0.0149258338580838,0.478890041472263
"53",53,17,1,0.00725987501049465,0.0143208145871225,0.506945674516508
"54",54,16,2,0.00735312427703221,0.0151545379267532,0.485209401472498
"55",55,15,3,0.00737689280199793,0.0164394076494597,0.44873227547468
"56",56,15,3,0.0070203292298312,0.0173313666041064,0.405064954783647
"57",57,15,3,0.00647078799424833,0.0181212772521936,0.357082334991869
"58",58,16,2,0.00604085807167194,0.0175146319625632,0.344903511794254
"59",59,16,2,0.00650066813051314,0.0170514047040832,0.38123944879195
"60",60,16,2,0.00787075114194628,0.0124795734260889,0.630690719403297
"61",61,16,2,0.00841187650155396,0.0122949747056599,0.684171924134307
"62",62,15,3,0.0105376077443636,0.0154610547061646,0.681558143647342
"63",63,16,2,0.010084083328409,0.0143935298716055,0.700598353452
