"","window","no.N","no.S","pi.N","pi.S","N_over_S"
"1",1,18,1,0.00803422957271774,0.0151979295105578,0.528639744455746
"2",2,17,1,0.00880817038866616,0.0153000685390117,0.575694832098779
"3",3,17,1,0.0086215604672141,0.0151061195963387,0.570732967671177
"4",4,17,1,0.00861839437038928,0.0175148726707495,0.492061491533554
"5",5,17,1,0.00842807586047164,0.0175364040778441,0.480604565397752
"6",6,17,1,0.00964185717639154,0.0162830058313505,0.592142340072591
"7",7,17,1,0.00988330343054398,0.0161379656501669,0.612425608331975
"8",8,17,1,0.0114263428178163,0.0125454956352063,0.910792458908571
"9",9,18,9,0.0109440904514853,0.0132207033139464,0.827799413662089
"10",10,18,9,0.0110260394929771,0.0119350104151878,0.923839955677452
"11",11,18,9,0.0102113346636111,0.0111284290659899,0.917589949404314
"12",12,17,1,0.0105905671399084,0.0113397834923597,0.933930277155986
"13",13,17,1,0.0106609312774266,0.00888633930596732,1.1996988760341
"14",14,17,1,0.0114325496798827,0.0154596398938285,0.739509442548307
"15",15,17,1,0.0110560760152731,0.0152708446276455,0.723998985312035
"16",16,17,1,0.0108943147669915,0.0152881530820797,0.712598487763804
"17",17,17,1,0.00963278030405938,0.0158687206700554,0.607029419973131
"18",18,17,1,0.00943341716304336,0.0155869867844758,0.605211083673902
"19",19,17,1,0.00886856453028736,0.0161549114668045,0.548970172229709
"20",20,17,1,0.00906123761742967,0.0170595447648649,0.531153541452748
"21",21,17,1,0.008932479809081,0.0164582737725503,0.542734914519341
"22",22,17,1,0.008739063794974,0.0162228897454817,0.538687245742266
"23",23,17,1,0.00730972241594398,0.00988591811917221,0.739407541902244
"24",24,17,1,0.00637239402384777,0.010420988601871,0.611496113017883
"25",25,17,1,0.0060552887448332,0.0107378993769965,0.563917441599916
"26",26,17,1,0.0060193429980452,0.0110982582661809,0.542368257583948
"27",27,17,1,0.00640597817067319,0.0107978223396868,0.59326575018079
"28",28,17,1,0.00686177718475147,0.0100859073529024,0.680333156419174
"29",29,16,1,0.00694000170278096,0.013687170049482,0.507044310671337
"30",30,17,10,0.00655795508576146,0.0140715353717339,0.466044032333151
"31",31,17,10,0.00619374688287247,0.013731320007717,0.451067113678188
"32",32,17,10,0.00657031379103234,0.0127828328737016,0.513995125802638
"33",33,17,10,0.0068092359229707,0.0124533997684951,0.546777269625351
"34",34,17,10,0.00694340404415611,0.0139991975110809,0.495985861951027
"35",35,16,1,0.00688554272681667,0.0140755434390877,0.48918485858923
"36",36,15,1,0.00671688263603006,0.0135135694397077,0.497047258017077
