"","Gene","Counts","Total","Expected","Difference"
"1","5' UTR",0,77,2.70797274903333,-100
"2","Core",9,462,16.2478364942,-44.6080097912559
"3","E1",20,359,12.6254833364021,58.4097770129359
"4","HVR1",3,41,1.4419075676671,108.057719320649
"5","E2",28,670,23.562879764316,18.8309760100024
"6","NS1",7,106,3.72785858957835,87.7753630346735
"7","NS2",10,336,11.8166083594182,-15.3733482921965
"8","NS3",41,1285,45.1914932793224,-9.27496078391427
"9","NS4A",4,112,3.93886945313939,1.55198204936425
"10","NS4B",18,510,17.9359234026883,0.357252848783493
"11","NS5A",34,818,28.7678143988216,18.187636810507
"12","NS5B",17,655,23.0353526054134,-26.2003916709964
