"","Gene","Counts","Total","Expected","Difference"
"1","5' UTR",0,52,1.9290780141844,-100
"2","Core",9,454,16.8423349699945,-46.5632288157554
"3","E1",11,356,13.2067648663393,-16.7093522802379
"4","HVR1",8,43,1.59519912711402,401.504787961696
"5","E2",38,679,25.189307146754,50.85766265269
"6","NS1",9,104,3.85815602836879,133.272058823529
"7","NS2",16,365,13.5406437534097,18.1627719580983
"8","NS3",52,1297,48.1156573922531,8.07292847748198
"9","NS4A",5,110,4.08074195308238,22.5267379679144
"10","NS4B",20,521,19.3278777959629,3.47747544315231
"11","NS5A",21,853,31.6442989634479,-33.6373353561823
"12","NS5B",15,665,24.6699399890889,-39.1972578505086
