"","Gene","Counts","Total","Expected","Difference"
"1","5' UTR",1,77,3.84059993024067,-73.9624012351285
"2","Core",11,473,23.5922567143355,-53.3745324442999
"3","E1",23,374,18.6543425183118,23.2956882689503
"4","HVR1",6,44,2.1946285315661,173.394787031151
"5","E2",45,707,35.2636902685734,27.6100137486276
"6","NS1",4,110,5.48657132891524,-27.0947234583598
"7","NS2",31,387,19.3027554935473,60.5988326918559
"8","NS3",52,1330,66.3376351587025,-21.6131237183869
"9","NS4A",8,113,5.63620509243111,41.9394764527508
"10","NS4B",24,544,27.1335891175445,-11.5487453722748
"11","NS5A",52,880,43.8925706313219,18.4710743801653
"12","NS5B",29,695,34.6651552145099,-16.3425064144489
